
=== Loaded ROM (first 256 bytes) ===
6E 05 65 00 6B 06 6A 00 A3 0C DA B1 7A 04 3A 40 
12 08 7B 02 3B 12 12 06 6C 20 6D 1F A3 10 DC D1 
22 F6 60 00 61 00 A3 12 D0 11 70 08 A3 0E D0 11 
60 40 F0 15 F0 07 30 00 12 34 C6 0F 67 1E 68 01 
69 FF A3 0E D6 71 A3 10 DC D1 60 04 E0 A1 7C FE 
60 06 E0 A1 7C 02 60 3F 8C 02 DC D1 A3 0E D6 71 
86 84 87 94 60 3F 86 02 61 1F 87 12 47 1F 12 AC 
46 00 68 01 46 3F 68 FF 47 00 69 01 D6 71 3F 01 
12 AA 47 1F 12 AA 60 05 80 75 3F 00 12 AA 60 01 
F0 18 80 60 61 FC 80 12 A3 0C D0 71 60 FE 89 03 
22 F6 75 01 22 F6 45 60 12 DE 12 46 69 FF 80 60 
80 C5 3F 01 12 CA 61 02 80 15 3F 01 12 E0 80 15 
3F 01 12 EE 80 15 3F 01 12 E8 60 20 F0 18 A3 0E 
7E FF 80 E0 80 04 61 00 D0 11 3E 00 12 30 12 DE 
78 FF 48 FE 68 FF 12 EE 78 01 48 02 68 01 60 04 
F0 18 69 FF 12 70 A3 14 F5 33 F2 65 F1 29 63 37 


PC: 200 Opcode: 6E05 Type: 6 X:E Y:0 N:5 NN:5 NNN:E05 VX:000 VY:000
PC: 202 Opcode: 6500 Type: 6 X:5 Y:0 N:0 NN:0 NNN:500 VX:000 VY:000
PC: 204 Opcode: 6B06 Type: 6 X:B Y:0 N:6 NN:6 NNN:B06 VX:000 VY:000
PC: 206 Opcode: 6A00 Type: 6 X:A Y:0 N:0 NN:0 NNN:A00 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:000 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:000 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:004 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:004 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:004 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:008 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:008 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:008 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:00c VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:00c VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:00c VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:010 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:010 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:010 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:014 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:014 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:014 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:018 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:018 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:018 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:01c VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:01c VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:01c VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:020 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:020 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:020 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:024 VY:000
PC: 210 Opcode: 1208 Type: 1 X:2 Y:0 N:8 NN:8 NNN:208 VX:000 VY:000
PC: 208 Opcode: A30C Type: A X:3 Y:0 N:C NN:C NNN:30C VX:000 VY:000
PC: 20A Opcode: DAB1 Type: D X:A Y:B N:1 NN:B1 NNN:AB1 VX:024 VY:006
PC: 20C Opcode: 7A04 Type: 7 X:A Y:0 N:4 NN:4 NNN:A04 VX:024 VY:000
PC: 20E Opcode: 3A40 Type: 3 X:A Y:4 N:0 NN:40 NNN:A40 VX:028 VY:000
